id,sortname,name
1,AF,Afghanistan
13,AU,Australia
21,BE,Belgium
25,BT,Bhutan
44,CN,China
47,CO,Colombia
64,EG,Egypt
75,FR,France
82,DE,Germany
100,IS,Iceland
101,IN,India
102,ID,Indonesia
103,IR,Iran
104,IQ,Iraq
105,IE,Ireland
106,IL,Israel
107,IT,Italy
109,JP,Japan
153,NP,Nepal
230,GB,United Kingdom
231,US,United States
